date,open,high,low,close,per_change,volume,traded_amount,symbol
2025-06-12,359.0,385.5,349.0,368.02,4.5,486118.0,180068142.7,UNHPL
2025-06-15,375.0,404.0,370.0,402.4,9.34,567147.0,222159007.7,UNHPL
2025-06-16,407.0,432.0,404.0,406.76,1.08,773142.0,321315635.4,UNHPL
2025-06-17,405.0,417.0,403.0,413.4,1.63,266887.0,109894741.9,UNHPL
2025-06-18,418.0,454.7,413.2,451.5,9.22,691659.0,300639545.7,UNHPL
2025-06-19,451.5,466.0,433.6,437.63,-3.07,531973.0,238842274.2,UNHPL
2025-06-22,437.0,443.5,407.0,410.34,-6.24,520695.0,221336175.3,UNHPL
2025-06-23,418.0,429.9,408.0,424.77,3.52,353926.0,149126646.3,UNHPL
2025-06-24,430.0,432.7,412.0,415.06,-2.29,152400.0,64232916.1,UNHPL
2025-06-25,416.0,447.0,410.0,437.6,5.43,369275.0,158022964.0,UNHPL
2025-06-26,431.7,450.0,425.1,427.37,-2.34,453455.0,197519497.5,UNHPL
2025-06-29,424.9,449.8,424.9,442.68,3.58,549793.0,243386291.6,UNHPL
2025-06-30,451.0,459.0,445.2,449.93,1.64,342723.0,154981725.2,UNHPL
2025-07-01,444.4,480.0,444.4,476.91,6.0,536958.0,251644938.1,UNHPL
2025-07-02,486.4,486.4,461.6,465.99,-2.29,435230.0,205123668.9,UNHPL
2025-07-03,474.0,474.0,445.0,448.67,-3.72,346558.0,158497123.8,UNHPL
2025-07-06,452.9,456.0,429.1,431.47,-3.83,276192.0,120981353.1,UNHPL
2025-07-07,434.0,440.5,417.1,419.72,-2.72,252804.0,107772513.7,UNHPL
2025-07-08,428.1,436.0,419.9,422.94,0.77,241190.0,102549157.9,UNHPL
2025-07-09,431.0,432.9,420.0,420.63,-0.55,214474.0,91010544.2,UNHPL
2025-07-10,429.0,429.0,412.0,413.71,-1.65,181771.0,75598776.0,UNHPL
2025-07-13,421.9,430.3,395.5,397.72,-3.87,218911.0,88853796.5,UNHPL
2025-07-14,397.7,419.5,397.0,408.67,2.75,191652.0,78500763.2,UNHPL
2025-07-15,416.8,428.0,413.0,422.18,3.31,143097.0,60216055.4,UNHPL
2025-07-16,430.6,430.6,415.0,417.81,-1.04,159956.0,67243692.6,UNHPL
2025-07-17,422.0,459.5,418.0,449.41,7.56,437776.0,192525972.7,UNHPL
2025-07-20,458.3,458.3,428.4,430.12,-4.29,237771.0,104776650.0,UNHPL
2025-07-21,427.0,443.0,417.6,422.91,-1.68,228616.0,97468260.5,UNHPL
2025-07-22,414.5,430.0,414.5,421.34,-0.37,362181.0,152722232.0,UNHPL
2025-07-23,422.0,426.7,413.2,421.09,-0.06,263828.0,110925442.7,UNHPL
2025-07-24,421.0,434.8,418.0,425.19,0.97,266533.0,113577086.3,UNHPL
2025-07-27,429.0,435.0,412.0,416.98,-1.93,286677.0,122106149.4,UNHPL
2025-07-28,418.0,427.0,415.0,423.46,1.55,159061.0,67013376.5,UNHPL
2025-07-29,428.0,436.9,419.0,421.48,-0.47,212549.0,90832588.4,UNHPL
2025-07-30,420.0,427.9,413.1,414.33,-1.7,145608.0,61091584.6,UNHPL
2025-07-31,414.0,417.0,407.0,408.77,-1.34,130042.0,53651424.4,UNHPL
2024-07-31,651.9,704.0,650.0,701.9,9.67,309263.0,213627392.6,PFL
2024-08-01,715.0,734.0,675.0,675.6,-3.75,218865.0,153581860.4,PFL
2024-08-05,676.0,687.0,657.0,662.8,-1.89,169316.0,113072632.0,PFL
2024-08-06,650.0,665.0,615.0,619.0,-6.61,168353.0,107569353.6,PFL
2024-08-07,610.0,664.0,610.0,649.0,4.85,118331.0,76382450.2,PFL
2024-08-08,661.9,670.0,625.0,629.9,-2.94,88787.0,56615861.9,PFL
2024-08-11,642.4,650.0,615.0,634.0,0.65,91036.0,57930927.6,PFL
2024-08-12,645.0,669.0,641.0,655.0,3.31,129662.0,85525001.9,PFL
2024-08-13,664.9,692.0,655.0,670.0,2.29,171430.0,115725433.5,PFL
2024-08-14,683.4,722.0,680.0,720.0,7.46,279583.0,198637630.4,PFL
2024-08-15,730.0,759.0,695.8,700.0,-2.78,184893.0,133163439.8,PFL
2024-08-18,686.0,710.0,660.0,665.2,-4.97,171271.0,116682377.7,PFL
2024-08-21,660.0,715.0,660.0,709.0,6.58,211819.0,148935082.5,PFL
2024-08-22,723.1,755.0,715.1,718.0,1.27,190047.0,139311913.9,PFL
2024-08-25,718.0,719.1,680.3,684.0,-4.74,123738.0,86766752.7,PFL
2024-08-27,677.0,706.5,660.0,660.1,-3.49,105522.0,72095420.7,PFL
2024-08-28,673.0,688.0,647.0,660.0,-0.02,57229.0,38123276.4,PFL
2024-08-29,673.0,673.0,642.0,644.0,-2.42,57489.0,37483522.2,PFL
2024-09-01,646.0,660.0,619.0,620.0,-3.73,61500.0,38894382.8,PFL
2024-09-02,632.4,679.7,620.0,667.0,7.58,112268.0,73559765.6,PFL
2024-09-03,680.3,687.0,660.0,661.0,-0.9,72990.0,49224273.2,PFL
2024-09-04,673.8,674.0,630.1,630.2,-4.66,70028.0,45170338.4,PFL
2024-09-05,625.0,646.5,625.0,638.0,1.24,44119.0,28069626.6,PFL
2024-09-08,650.0,650.7,630.3,630.3,-1.21,31474.0,20164967.8,PFL
2024-09-09,622.3,640.0,615.0,615.0,-2.43,33699.0,20970102.9,PFL
2024-09-10,620.0,632.9,609.0,610.0,-0.81,35631.0,21954601.2,PFL
